time,velocity
18.20496,1.852144
18.22733,1.866578
18.25108,1.949435
18.27243,2.032403
18.29512,2.114732
18.31705,2.200974
18.33909,2.282884
18.36076,2.359973
18.38457,2.380951
18.40552,2.406957
18.42897,2.436563
18.45061,2.468602
18.47224,2.508631
18.49554,2.547409
18.51805,2.58456
18.54001,2.568495
18.56148,2.561377
18.58538,2.517148
18.60649,2.48792
18.62857,2.522214
18.65124,2.557266
18.67325,2.593032
18.696,2.661186
18.71815,2.744511
18.74011,2.770188
18.76284,2.793162
18.78572,2.762693
18.80732,2.69023
18.82997,2.634123
18.85356,2.542608
18.87459,2.423824
18.8974,2.285753
18.91957,2.184609
18.94157,2.064281
18.96422,1.929804
18.98745,1.786985
19.00876,1.639898
19.03105,1.491201
19.05338,1.344555
19.07559,1.202154
19.09871,1.123595
19.121,1.09028
19.14259,1.04415
19.16619,1.066171
19.18843,1.190206
19.20981,1.320777
19.23252,1.511031
19.25554,1.740051
19.27818,2.18551
19.30001,2.46927
19.32158,2.627306
19.34374,2.970046
19.3666,3.323912
19.38896,3.803031
19.41061,3.92551
19.43347,4.191878
19.45559,4.263676
19.47844,4.270731
19.50077,4.200683
19.52294,4.120911
19.54498,3.983167
19.56734,3.858303
19.58966,3.740188
19.61265,3.579569
19.63542,3.437393
19.6566,3.31266
19.67901,3.153458
19.70148,2.97412
19.724,2.828692
19.74674,2.687147
19.76921,2.54878
19.79097,2.391904
19.81269,2.222822
19.83517,2.046804
19.8576,1.91908
19.88003,1.781919
19.90273,1.639513
19.92445,1.546181
19.9477,1.443407
19.97017,1.385632
19.99146,1.371018
20.01434,1.385865
20.03662,1.475161
20.05788,1.623013
20.08204,1.765278
20.10333,1.855116
20.12534,1.946064
20.14836,1.986293
20.17037,2.035559
20.19302,2.039692
20.21566,2.007545
20.23789,1.996705
20.25981,2.003675
20.28244,1.97336
20.30407,1.96495
20.32687,2.005963
20.34933,2.078116
20.37133,2.150872
20.39339,2.222082
20.41709,2.32118
20.43816,2.386579
20.46082,2.448424
20.4834,2.454763
20.50564,2.545097
20.52835,2.648604
20.55106,2.736717
20.57287,2.816112
20.5945,2.882161
20.6172,2.962646
20.63942,3.04996
20.66149,3.123078
20.685,3.126696
20.70613,3.125092
20.72897,3.068554
20.75091,2.968077
20.77347,2.885337
20.79532,2.794049
20.81814,2.694784
20.8406,2.617243
20.86304,2.508466
20.88548,2.427094
20.90795,2.420177
20.93002,2.422862
20.95255,2.43311
20.97537,2.454521
20.99739,2.562741
21.01933,2.680405
21.04174,2.778667
21.06441,2.860252
21.08648,2.931373
21.10892,2.987922
21.13123,2.981224
21.15357,2.974383
21.17626,2.994181
21.19888,2.981559
21.22043,2.969776
21.24267,2.958663
21.265,2.948684
21.28758,2.994956
21.30987,2.980011
21.33248,2.966518
21.355,2.954246
21.37705,2.993244
21.39935,3.074465
21.42124,3.137061
21.44376,3.188046
21.46661,3.274088
21.48878,3.337162
21.51092,3.380416
21.53344,3.322954
21.55566,3.303817
21.57812,3.305195
21.60127,3.299045
21.6223,3.287631
21.64558,3.271451
21.6678,3.302267
21.68985,3.320058
21.71244,3.378529
21.734,3.468154
21.75614,3.55746
21.77856,3.594929
21.80171,3.61295
21.82405,3.614106
21.84601,3.652668
21.86828,3.670298
21.89042,3.67089
21.91402,3.60689
21.93554,3.542501
21.95739,3.483066
21.98118,3.424547
22.00289,3.316967
22.02453,3.222355
22.0472,3.089281
22.06953,2.927213
22.09114,2.745114
22.11457,2.549394
22.13705,2.346073
22.15913,2.14091
22.18059,1.937133
22.2039,1.738041
22.2252,1.597032
22.24786,1.454763
22.26952,1.364772
22.29278,1.267911
22.31438,1.217989
22.33718,1.206619
22.35939,1.2314
22.38213,1.280649
22.4036,1.348839
22.42636,1.431187
22.44954,1.47274
22.47161,1.480518
22.49347,1.460809
22.51692,1.469243
22.53793,1.450252
22.56053,1.409393
22.58376,1.402344
22.60542,1.372003
22.62758,1.374137
22.64986,1.351713
22.67233,1.359856
22.69493,1.393534
22.71725,1.447163
22.73897,1.515088
22.76152,1.547331
22.78413,1.597058
22.80631,1.686891
22.82898,1.754145
22.85219,1.828612
22.87354,1.906859
22.89577,1.992044
22.9188,2.076746
22.94001,2.109069
22.96241,2.149742
22.98648,2.19573
23.00764,2.244454
23.02985,2.244481
23.05288,2.256622
23.07437,2.226957
23.09718,2.163673
23.11976,2.074535
23.14201,2.01671
23.16442,1.935201
23.18664,1.885822
23.20817,1.91432
23.23065,1.953827
23.25406,2.056659
23.27519,2.154643
23.29822,2.296991
23.31999,2.425435
23.34237,2.537654
23.36617,2.634008
23.38739,2.665763
23.40929,2.695456
23.43198,2.722204
23.45396,2.696041
23.47631,2.677509
23.49977,2.666274
23.52114,2.661121
23.54342,2.660241
23.56543,2.714394
23.58882,2.811443
23.61032,2.891453
23.63392,3.034897
23.65504,3.073359
23.6776,3.147857
23.70007,3.210211
23.72197,3.224744
23.7444,3.257141
23.7674,3.261982
23.78918,3.295771
23.81166,3.315131
